Bill Number	Caption	Bill History/Status	Authors	Captions	Dead|Alive|Unassigned|Law	Latest Action Date	Latest Action Chamber	Latest Action	Link | All Texts	Recent Bill Text	Introduced Text	Companions	Amendments
HB11	Relating to occupational licensing reciprocity agreements.	https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB11	"=HYPERLINK(""https://capitol.texas.gov/BillLookup/Authors.aspx?LegSess=89R&Bill=HB11"", ""Phelan"")"	https://capitol.texas.gov/BillLookup/Captions.aspx?LegSess=89R&Bill=HB11	Alive	03/03/2025	H	"=HYPERLINK(""https://capitol.texas.gov/BillLookup/Actions.aspx?LegSess=89R&Bill=HB11"", ""Referred to Licensing & Administrative Procedures: Mar  3 2025  2:24PM"")"	https://capitol.texas.gov/BillLookup/Text.aspx?LegSess=89R&Bill=HB11	https://capitol.texas.gov/tlodocs/89R/billtext/pdf/HB00011I.pdf#navpanes=0	https://capitol.texas.gov/tlodocs/89R/billtext/pdf/HB00011I.pdf#navpanes=0		
HB12		https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB12		https://capitol.texas.gov/BillLookup/Captions.aspx?LegSess=89R&Bill=HB12	Unassigned								
HB13		https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB13		https://capitol.texas.gov/BillLookup/Captions.aspx?LegSess=89R&Bill=HB13	Unassigned								
HB14		https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB14		https://capitol.texas.gov/BillLookup/Captions.aspx?LegSess=89R&Bill=HB14	Unassigned								
HB15	Relating to business entities.	https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB15	"=HYPERLINK(""https://capitol.texas.gov/BillLookup/Authors.aspx?LegSess=89R&Bill=HB15"", ""Meyer"")"	https://capitol.texas.gov/BillLookup/Captions.aspx?LegSess=89R&Bill=HB15	Alive	03/03/2025	H	"=HYPERLINK(""https://capitol.texas.gov/BillLookup/Actions.aspx?LegSess=89R&Bill=HB15"", ""Referred to Judiciary & Civil Jurisprudence: Mar  3 2025  2:24PM"")"	https://capitol.texas.gov/BillLookup/Text.aspx?LegSess=89R&Bill=HB15	https://capitol.texas.gov/tlodocs/89R/billtext/pdf/HB00015I.pdf#navpanes=0	https://capitol.texas.gov/tlodocs/89R/billtext/pdf/HB00015I.pdf#navpanes=0	"=HYPERLINK(""https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=SB29"", ""SB 29"")"	
HB16		https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB16		https://capitol.texas.gov/BillLookup/Captions.aspx?LegSess=89R&Bill=HB16	Unassigned								
HB17		https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB17		https://capitol.texas.gov/BillLookup/Captions.aspx?LegSess=89R&Bill=HB17	Unassigned								
HB18		https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB18		https://capitol.texas.gov/BillLookup/Captions.aspx?LegSess=89R&Bill=HB18	Unassigned								
HB19		https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB19		https://capitol.texas.gov/BillLookup/Captions.aspx?LegSess=89R&Bill=HB19	Unassigned								
HB20	Relating to establishing the Applied Sciences Pathway program.	https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB20	"=HYPERLINK(""https://capitol.texas.gov/BillLookup/Authors.aspx?LegSess=89R&Bill=HB20"", ""Gates"")"	https://capitol.texas.gov/BillLookup/Captions.aspx?LegSess=89R&Bill=HB20	Alive	03/05/2025	H	"=HYPERLINK(""https://capitol.texas.gov/BillLookup/Actions.aspx?LegSess=89R&Bill=HB20"", ""Scheduled for public hearing in s/c on . . ."")"	https://capitol.texas.gov/BillLookup/Text.aspx?LegSess=89R&Bill=HB20	https://capitol.texas.gov/tlodocs/89R/billtext/pdf/HB00020I.pdf#navpanes=0	https://capitol.texas.gov/tlodocs/89R/billtext/pdf/HB00020I.pdf#navpanes=0		
